序号,汉字,频度统计,频度顺序,频率,,
2762,柬,1772,2906,0.0009%,,
3300,蝉,1771,2907,0.0009%,,
3483,蟹,1771,2908,0.0009%,,
3129,鹃,1768,2909,0.0009%,,
3396,擎,1768,2910,0.0009%,,
1311,疤,1765,2911,0.0009%,,
1785,铲,1756,2912,0.0009%,,
2782,钝,1752,2913,0.0009%,,
2583,匣,1747,2914,0.0009%,,
2704,氓,1747,2915,0.0009%,,
2721,弧,1742,2916,0.0009%,,
3232,锥,1738,2917,0.0009%,,
1928,揪,1735,2918,0.0009%,,
590,杠,1732,2919,0.0009%,,
2594,吭,1731,2920,0.0009%,,
2821,诬,1725,2921,0.0009%,,
2571,抒,1724,2922,0.0009%,,
2928,悍,1715,2923,0.0009%,,
3484,靡,1715,2924,0.0009%,,
2985,晦,1714,2925,0.0009%,,
2375,醋,1712,2926,0.0009%,,
2204,锯,1709,2927,0.0009%,,
2506,夭,1709,2928,0.0009%,,
3432,壕,1709,2929,0.0009%,,
2688,侈,1703,2930,0.0009%,,
2061,猾,1697,2931,0.0009%,,
3023,徘,1695,2932,0.0009%,,
3111,硝,1695,2933,0.0009%,,
671,皂,1691,2934,0.0009%,,
3027,舵,1689,2935,0.0009%,,
3216,嗦,1689,2936,0.0009%,,
2607,狈,1688,2937,0.0009%,,
3193,靴,1688,2938,0.0009%,,
2837,捂,1687,2939,0.0009%,,
1308,疮,1681,2940,0.0009%,,
2651,苛,1679,2941,0.0009%,,
3015,秽,1676,2942,0.0009%,,
3092,搓,1673,2943,0.0009%,,
2229,酱,1668,2944,0.0009%,,
2894,赁,1668,2945,0.0009%,,
3435,檐,1667,2946,0.0009%,,
2368,蕉,1663,2947,0.0009%,,
2656,苔,1660,2948,0.0009%,,
2946,赦,1659,2949,0.0009%,,
2120,缎,1658,2950,0.0009%,,
3026,舷,1654,2951,0.0009%,,
3238,筷,1652,2952,0.0009%,,
2917,紊,1639,2953,0.0009%,,
3181,婿,1635,2954,0.0009%,,
3321,寥,1633,2955,0.0009%,,
3286,兢,1632,2956,0.0008%,,
3425,糙,1631,2957,0.0008%,,
2637,卦,1628,2958,0.0008%,,
2155,槐,1627,2959,0.0008%,,
185,扒,1623,2960,0.0008%,,
2117,絮,1617,2961,0.0008%,,
2577,芭,1615,2962,0.0008%,,
2720,屉,1612,2963,0.0008%,,
3157,痪,1611,2964,0.0008%,,
3078,绽,1607,2965,0.0008%,,
1657,宵,1604,2966,0.0008%,,
2595,邑,1604,2967,0.0008%,,
684,岔,1599,2968,0.0008%,,
841,茄,1596,2969,0.0008%,,
2800,饵,1596,2970,0.0008%,,
2561,韧,1593,2971,0.0008%,,
3347,憋,1588,2972,0.0008%,,
2694,忿,1578,2973,0.0008%,,
3022,衅,1578,2974,0.0008%,,
3052,淳,1577,2975,0.0008%,,
3146,粤,1572,2976,0.0008%,,
3178,隘,1570,2977,0.0008%,,
3427,濒,1569,2978,0.0008%,,
3218,畸,1562,2979,0.0008%,,
2568,坞,1559,2980,0.0008%,,
2870,剔,1559,2981,0.0008%,,
3419,篱,1558,2982,0.0008%,,
3054,淀,1557,2983,0.0008%,,
2995,唬,1554,2984,0.0008%,,
2200,锣,1552,2985,0.0008%,,
2989,趾,1552,2986,0.0008%,,
3192,斟,1547,2987,0.0008%,,
3335,鞍,1545,2988,0.0008%,,
2565,扳,1540,2989,0.0008%,,
1123,拴,1537,2990,0.0008%,,
2627,诅,1535,2991,0.0008%,,
3461,懦,1531,2992,0.0008%,,
1789,犁,1530,2993,0.0008%,,
2866,逞,1530,2994,0.0008%,,
2644,拧,1529,2995,0.0008%,,
2547,亥,1528,2996,0.0008%,,
2731,绊,1525,2997,0.0008%,,
3242,腮,1522,2998,0.0008%,,
1959,椒,1518,2999,0.0008%,,
3285,蔚,1518,3000,0.0008%,,
2982,眶,1511,3001,0.0008%,,
2756,栈,1507,3002,0.0008%,,
3395,薇,1504,3003,0.0008%,,
2696,肮,1499,3004,0.0008%,,
3470,瀑,1497,3005,0.0008%,,
2081,渣,1495,3006,0.0008%,,
3268,褂,1493,3007,0.0008%,,
2516,叽,1492,3008,0.0008%,,
3463,臀,1489,3009,0.0008%,,
3490,巍,1485,3010,0.0008%,,
2702,疚,1480,3011,0.0008%,,
3363,鲤,1479,3012,0.0008%,,
3405,辙,1466,3013,0.0008%,,
3379,懊,1462,3014,0.0008%,,
2818,恤,1459,3015,0.0008%,,
2916,疹,1458,3016,0.0008%,,
3009,铝,1453,3017,0.0008%,,
2924,涤,1452,3018,0.0008%,,
2815,恃,1445,3019,0.0008%,,
1172,砌,1442,3020,0.0008%,,
3203,楞,1436,3021,0.0007%,,
2555,阱,1433,3022,0.0007%,,
2811,洼,1430,3023,0.0007%,,
2660,枫,1418,3024,0.0007%,,
2739,拷,1418,3025,0.0007%,,
2777,哆,1417,3026,0.0007%,,
2574,苇,1416,3027,0.0007%,,
3381,翩,1414,3028,0.0007%,,
3061,窒,1413,3029,0.0007%,,
2903,胰,1411,3030,0.0007%,,
3194,靶,1411,3031,0.0007%,,
2573,芜,1409,3032,0.0007%,,
2467,辫,1408,3033,0.0007%,,
3448,嚎,1408,3034,0.0007%,,
3230,幌,1403,3035,0.0007%,,
2601,佃,1401,3036,0.0007%,,
3095,葫,1399,3037,0.0007%,,
2245,滤,1394,3038,0.0007%,,
2178,睬,1392,3039,0.0007%,,
2501,匕,1388,3040,0.0007%,,
3176,谤,1387,3041,0.0007%,,
3227,嗤,1387,3042,0.0007%,,
2838,捍,1385,3043,0.0007%,,
3311,孵,1383,3044,0.0007%,,
3423,瘾,1379,3045,0.0007%,,
3049,淆,1375,3046,0.0007%,,
3336,蕊,1373,3047,0.0007%,,
1626,烘,1371,3048,0.0007%,,
205,轧,1367,3049,0.0007%,,
2886,赂,1362,3050,0.0007%,,
2156,榆,1360,3051,0.0007%,,
3354,蝗,1360,3052,0.0007%,,
2938,骏,1358,3053,0.0007%,,
44,勺,1357,3054,0.0007%,,
1006,闸,1352,3055,0.0007%,,
3338,樊,1346,3056,0.0007%,,
2742,垢,1341,3057,0.0007%,,
3313,瘟,1341,3058,0.0007%,,
2966,菇,1339,3059,0.0007%,,
1336,剃,1337,3060,0.0007%,,
2810,炫,1329,3061,0.0007%,,
3263,溺,1329,3062,0.0007%,,
2827,陨,1324,3063,0.0007%,,
2887,赃,1321,3064,0.0007%,,
3301,嘀,1318,3065,0.0007%,,
3421,膳,1315,3066,0.0007%,,
2865,殉,1310,3067,0.0007%,,
2806,闽,1307,3068,0.0007%,,
2954,掺,1303,3069,0.0007%,,
2093,惰,1302,3070,0.0007%,,
3120,喳,1302,3071,0.0007%,,
3106,椭,1301,3072,0.0007%,,
2778,咪,1298,3073,0.0007%,,
3404,霎,1296,3074,0.0007%,,
3173,窖,1292,3075,0.0007%,,
2822,祠,1291,3076,0.0007%,,
2542,肋,1282,3077,0.0007%,,
2626,忱,1268,3078,0.0007%,,
3393,蕾,1268,3079,0.0007%,,
2975,硅,1264,3080,0.0007%,,
1013,炊,1262,3081,0.0007%,,
3351,蝠,1259,3082,0.0007%,,
2738,拭,1257,3083,0.0007%,,
2825,屎,1257,3084,0.0007%,,
3324,褪,1256,3085,0.0007%,,
3325,隧,1252,3086,0.0007%,,
2746,茸,1247,3087,0.0006%,,
1525,钳,1243,3088,0.0006%,,
2990,啃,1242,3089,0.0006%,,
2805,闺,1236,3090,0.0006%,,
3304,舔,1236,3091,0.0006%,,
3480,蹬,1233,3092,0.0006%,,
3065,袱,1227,3093,0.0006%,,
1161,柿,1221,3094,0.0006%,,
2666,殴,1221,3095,0.0006%,,
2969,梧,1218,3096,0.0006%,,
2554,弛,1215,3097,0.0006%,,
2686,侥,1215,3098,0.0006%,,
2844,捅,1211,3099,0.0006%,,
2972,酝,1206,3100,0.0006%,,
2422,薯,1204,3101,0.0006%,,
3375,澈,1202,3102,0.0006%,,
2018,锈,1198,3103,0.0006%,,
2207,稠,1194,3104,0.0006%,,
2676,咆,1191,3105,0.0006%,,
2766,鸥,1189,3106,0.0006%,,
3387,嬉,1183,3107,0.0006%,,
2905,脓,1180,3108,0.0006%,,
2354,骡,1178,3109,0.0006%,,
2465,穗,1178,3110,0.0006%,,
2527,邢,1176,3111,0.0006%,,
3091,搀,1172,3112,0.0006%,,
3444,曙,1171,3113,0.0006%,,
3072,隅,1167,3114,0.0006%,,
2034,筛,1166,3115,0.0006%,,
3067,谒,1163,3116,0.0006%,,
3253,痹,1158,3117,0.0006%,,
3033,猖,1157,3118,0.0006%,,
2604,肛,1147,3119,0.0006%,,
2192,蛾,1145,3120,0.0006%,,
2868,唠,1143,3121,0.0006%,,
2754,荧,1142,3122,0.0006%,,
3316,漱,1139,3123,0.0006%,,
3488,攘,1138,3124,0.0006%,,
3416,篡,1137,3125,0.0006%,,
3398,噩,1133,3126,0.0006%,,
3024,徙,1131,3127,0.0006%,,
2935,祟,1127,3128,0.0006%,,
3258,漓,1127,3129,0.0006%,,
3029,翎,1125,3130,0.0006%,,
2592,呛,1120,3131,0.0006%,,
2030,筐,1119,3132,0.0006%,,
3437,檀,1119,3133,0.0006%,,
2588,吠,1113,3134,0.0006%,,
2556,驮,1111,3135,0.0006%,,
2705,炬,1107,3136,0.0006%,,
2962,萤,1103,3137,0.0006%,,
2038,筝,1100,3138,0.0006%,,
3494,霹,1095,3139,0.0006%,,
2920,烙,1093,3140,0.0006%,,
2608,鸠,1092,3141,0.0006%,,
2141,蒜,1091,3142,0.0006%,,
2947,埠,1091,3143,0.0006%,,
406,乒,1086,3144,0.0006%,,
1771,啄,1084,3145,0.0006%,,
2787,毡,1082,3146,0.0006%,,
3382,褥,1081,3147,0.0006%,,
3094,搔,1080,3148,0.0006%,,
1547,笋,1079,3149,0.0006%,,
2698,狞,1078,3150,0.0006%,,
2986,冕,1078,3151,0.0006%,,
3283,蔼,1075,3152,0.0006%,,
3035,烹,1074,3153,0.0006%,,
2665,奄,1073,3154,0.0006%,,
2618,沐,1072,3155,0.0006%,,
909,咏,1067,3156,0.0006%,,
2878,圃,1066,3157,0.0006%,,
2948,捻,1066,3158,0.0006%,,
3058,悴,1064,3159,0.0006%,,
2783,钠,1061,3160,0.0006%,,
2945,捶,1061,3161,0.0006%,,
1373,袄,1057,3162,0.0006%,,
3370,澎,1056,3163,0.0005%,,
3141,氮,1055,3164,0.0005%,,
3249,雏,1052,3165,0.0005%,,
3085,堰,1049,3166,0.0005%,,
3330,撮,1049,3167,0.0005%,,
3413,鹦,1049,3168,0.0005%,,
3177,犀,1044,3169,0.0005%,,
2706,沽,1043,3170,0.0005%,,
3340,橄,1043,3171,0.0005%,,
2949,掐,1042,3172,0.0005%,,
2979,匾,1033,3173,0.0005%,,
3231,锚,1033,3174,0.0005%,,
407,乓,1032,3175,0.0005%,,
3088,揖,1031,3176,0.0005%,,
2613,吝,1030,3177,0.0005%,,
3378,憔,1030,3178,0.0005%,,
2823,诲,1028,3179,0.0005%,,
2864,砾,1028,3180,0.0005%,,
3489,蠕,1028,3181,0.0005%,,
2692,肴,1026,3182,0.0005%,,
3329,撩,1025,3183,0.0005%,,
3110,酥,1014,3184,0.0005%,,
1540,秧,1003,3185,0.0005%,,
2090,溉,1000,3186,0.0005%,,
2143,鹊,999,3187,0.0005%,,
2701,疙,998,3188,0.0005%,,
3476,蘑,998,3189,0.0005%,,
3201,楷,994,3190,0.0005%,,
3138,锌,992,3191,0.0005%,,
3289,酵,992,3192,0.0005%,,
3302,幔,988,3193,0.0005%,,
3365,褒,987,3194,0.0005%,,
3084,揍,986,3195,0.0005%,,
2895,倔,985,3196,0.0005%,,
2932,诽,985,3197,0.0005%,,
2016,锄,981,3198,0.0005%,,
3474,攒,977,3199,0.0005%,,
3114,雳,974,3200,0.0005%,,
3312,瘩,974,3201,0.0005%,,
2534,吆,973,3202,0.0005%,,
3333,墩,972,3203,0.0005%,,
2603,囱,968,3204,0.0005%,,
2858,桅,966,3205,0.0005%,,
1179,殃,964,3206,0.0005%,,
2792,俐,960,3207,0.0005%,,
2807,籽,957,3208,0.0005%,,
2933,袒,957,3209,0.0005%,,
823,拌,950,3210,0.0005%,,
3400,橙,946,3211,0.0005%,,
3276,赘,945,3212,0.0005%,,
3053,淤,943,3213,0.0005%,,
1953,葵,941,3214,0.0005%,,
3109,酣,939,3215,0.0005%,,
2942,琅,938,3216,0.0005%,,
3481,簸,937,3217,0.0005%,,
237,禾,936,3218,0.0005%,,
3472,璧,929,3219,0.0005%,,
3059,惋,925,3220,0.0005%,,
3149,腋,925,3221,0.0005%,,
2252,粱,918,3222,0.0005%,,
2621,沥,918,3223,0.0005%,,
1437,捎,913,3224,0.0005%,,
2919,羔,911,3225,0.0005%,,
3202,榄,905,3226,0.0005%,,
1142,茧,904,3227,0.0005%,,
3188,鹉,901,3228,0.0005%,,
2426,橘,900,3229,0.0005%,,
3331,撬,900,3230,0.0005%,,
2892,笆,896,3231,0.0005%,,
3038,痊,893,3232,0.0005%,,
2611,刨,888,3233,0.0005%,,
3223,蜕,886,3234,0.0005%,,
3069,谚,884,3235,0.0005%,,
2322,馒,881,3236,0.0005%,,
2648,拗,881,3237,0.0005%,,
2719,帚,878,3238,0.0005%,,
3308,箫,874,3239,0.0005%,,
2502,刁,871,3240,0.0005%,,
3389,缭,867,3241,0.0005%,,
2509,冗,863,3242,0.0004%,,
1297,饺,856,3243,0.0004%,,
2882,唆,852,3244,0.0004%,,
3127,蜒,852,3245,0.0004%,,
3018,偎,850,3246,0.0004%,,
2288,榨,849,3247,0.0004%,,
3208,碉,848,3248,0.0004%,,
2760,枷,845,3249,0.0004%,,
3205,酪,840,3250,0.0004%,,
3086,揩,837,3251,0.0004%,,
3445,蹋,826,3252,0.0004%,,
3206,碘,823,3253,0.0004%,,
3346,碾,820,3254,0.0004%,,
3391,擂,819,3255,0.0004%,,
2730,驹,810,3256,0.0004%,,
3318,漾,803,3257,0.0004%,,
2597,吮,800,3258,0.0004%,,
229,叼,797,3259,0.0004%,,
3158,竣,794,3260,0.0004%,,
3317,漩,794,3261,0.0004%,,
3479,蹭,793,3262,0.0004%,,
3459,糜,789,3263,0.0004%,,
2817,恬,786,3264,0.0004%,,
3219,跷,783,3265,0.0004%,,
3222,蜗,780,3266,0.0004%,,
3385,憨,780,3267,0.0004%,,
3128,蛤,769,3268,0.0004%,,
3442,瞳,769,3269,0.0004%,,
3401,瓢,766,3270,0.0004%,,
580,芹,765,3271,0.0004%,,
1537,秤,765,3272,0.0004%,,
3220,跺,765,3273,0.0004%,,
3372,潦,765,3274,0.0004%,,
2585,卤,758,3275,0.0004%,,
3326,嫡,758,3276,0.0004%,,
3487,鬓,758,3277,0.0004%,,
3057,惦,752,3278,0.0004%,,
3433,藐,750,3279,0.0004%,,
2884,唧,749,3280,0.0004%,,
2548,汛,748,3281,0.0004%,,
3007,铐,748,3282,0.0004%,,
2517,皿,745,3283,0.0004%,,
3165,渤,745,3284,0.0004%,,
3306,箍,743,3285,0.0004%,,
1830,馅,742,3286,0.0004%,,
2564,汞,738,3287,0.0004%,,
2813,涎,738,3288,0.0004%,,
3446,蟋,734,3289,0.0004%,,
3458,鳄,734,3290,0.0004%,,
2551,讹,729,3291,0.0004%,,
3144,筏,722,3292,0.0004%,,
2639,坯,720,3293,0.0004%,,
2801,峦,718,3294,0.0004%,,
2747,茬,717,3295,0.0004%,,
3447,蟀,717,3296,0.0004%,,
3328,撵,716,3297,0.0004%,,
3274,缤,715,3298,0.0004%,,
2654,苞,712,3299,0.0004%,,
2764,泵,709,3300,0.0004%,,
2888,钾,709,3301,0.0004%,,
3139,甥,696,3302,0.0004%,,
3366,瘪,694,3303,0.0004%,,
3408,蹂,691,3304,0.0004%,,
3169,湃,689,3305,0.0004%,,
3495,躏,688,3306,0.0004%,,
2478,镰,684,3307,0.0004%,,
2925,涧,681,3308,0.0004%,,
3355,蝙,679,3309,0.0004%,,
2904,脐,677,3310,0.0004%,,
3294,辕,675,3311,0.0004%,,
2923,涣,674,3312,0.0004%,,
2944,捺,670,3313,0.0003%,,
3014,秸,670,3314,0.0003%,,
2064,馋,669,3315,0.0003%,,
3430,窿,668,3316,0.0003%,,
3199,楔,667,3317,0.0003%,,
2755,荔,665,3318,0.0003%,,
3409,蟆,664,3319,0.0003%,,
2535,屹,663,3320,0.0003%,,
3431,缰,661,3321,0.0003%,,
2856,桦,660,3322,0.0003%,,
2951,掖,656,3323,0.0003%,,
2909,鸳,654,3324,0.0003%,,
2566,抡,652,3325,0.0003%,,
2638,坷,649,3326,0.0003%,,
2695,瓮,648,3327,0.0003%,,
3125,跛,648,3328,0.0003%,,
3299,踊,639,3329,0.0003%,,
3016,笙,636,3330,0.0003%,,
2734,贰,634,3331,0.0003%,,
3449,赡,627,3332,0.0003%,,
3486,羹,624,3333,0.0003%,,
3122,晾,622,3334,0.0003%,,
3221,蜈,620,3335,0.0003%,,
3464,藕,619,3336,0.0003%,,
3352,蝎,616,3337,0.0003%,,
3101,椰,615,3338,0.0003%,,
3303,镀,615,3339,0.0003%,,
2709,泞,614,3340,0.0003%,,
3410,螃,614,3341,0.0003%,,
3434,檬,613,3342,0.0003%,,
3424,瘸,609,3343,0.0003%,,
3497,蘸,609,3344,0.0003%,,
3282,蔗,607,3345,0.0003%,,
3019,傀,606,3346,0.0003%,,
2871,蚌,605,3347,0.0003%,,
3162,焙,601,3348,0.0003%,,
2690,刽,599,3349,0.0003%,,
3478,鳖,598,3350,0.0003%,,
3224,蛹,592,3351,0.0003%,,
2879,鸯,591,3352,0.0003%,,
2994,蛀,588,3353,0.0003%,,
3414,黔,582,3354,0.0003%,,
3453,儡,581,3355,0.0003%,,
2775,盅,578,3356,0.0003%,,
2575,芥,575,3357,0.0003%,,
1114,挎,574,3358,0.0003%,,
2743,垛,573,3359,0.0003%,,
2727,虱,572,3360,0.0003%,,
3361,篓,572,3361,0.0003%,,
2950,掂,567,3362,0.0003%,,
2610,灸,566,3363,0.0003%,,
2934,谆,565,3364,0.0003%,,
3126,蛔,563,3365,0.0003%,,
2832,耘,560,3366,0.0003%,,
2171,雹,558,3367,0.0003%,,
2875,蚪,556,3368,0.0003%,,
3426,燎,556,3369,0.0003%,,
2301,蜻,555,3370,0.0003%,,
2799,狰,553,3371,0.0003%,,
3204,楣,553,3372,0.0003%,,
2808,娄,551,3373,0.0003%,,
2830,蚤,548,3374,0.0003%,,
3190,搪,547,3375,0.0003%,,
2649,茉,545,3376,0.0003%,,
2854,梆,545,3377,0.0003%,,
3339,樟,545,3378,0.0003%,,
2598,岖,544,3379,0.0003%,,
2538,臼,543,3380,0.0003%,,
3485,癣,543,3381,0.0003%,,
2735,玷,541,3382,0.0003%,,
3250,馍,540,3383,0.0003%,,
2609,彤,536,3384,0.0003%,,
2001,蜓,533,3385,0.0003%,,
2773,昵,530,3386,0.0003%,,
3042,焊,530,3387,0.0003%,,
3064,裆,523,3388,0.0003%,,
2876,蚓,521,3389,0.0003%,,
2562,抠,520,3390,0.0003%,,
2874,蚣,519,3391,0.0003%,,
3155,痘,519,3392,0.0003%,,
3156,痢,519,3393,0.0003%,,
3353,蝌,514,3394,0.0003%,,
2992,蚯,513,3395,0.0003%,,
2748,荚,511,3396,0.0003%,,
2765,砚,509,3397,0.0003%,,
2833,耙,506,3398,0.0003%,,
3288,榕,505,3399,0.0003%,,
930,秆,502,3400,0.0003%,,
3327,缨,500,3401,0.0003%,,
2306,锹,499,3402,0.0003%,,
2937,娩,491,3403,0.0003%,,
2700,疟,485,3404,0.0003%,,
2910,馁,479,3405,0.0002%,,
2470,糠,475,3406,0.0002%,,
2558,纫,473,3407,0.0002%,,
1634,涝,471,3408,0.0002%,,
2615,闰,470,3409,0.0002%,,
2973,酗,467,3410,0.0002%,,
3200,椿,465,3411,0.0002%,,
3364,鲫,464,3412,0.0002%,,
3234,锭,461,3413,0.0002%,,
3235,锰,459,3414,0.0002%,,
3492,糯,455,3415,0.0002%,,
3342,豌,453,3416,0.0002%,,
2771,盹,452,3417,0.0002%,,
3148,腌,452,3418,0.0002%,,
3359,镐,451,3419,0.0002%,,
3469,癞,450,3420,0.0002%,,
2768,韭,449,3421,0.0002%,,
3145,牍,447,3422,0.0002%,,
2643,拄,444,3423,0.0002%,,
2836,埂,444,3424,0.0002%,,
2528,芋,440,3425,0.0002%,,
2899,豺,438,3426,0.0002%,,
2991,蛆,435,3427,0.0002%,,
2759,柠,434,3428,0.0002%,,
3140,掰,434,3429,0.0002%,,
2669,昙,426,3430,0.0002%,,
2757,柑,425,3431,0.0002%,,
2753,荤,419,3432,0.0002%,,
2804,飒,417,3433,0.0002%,,
2898,舀,415,3434,0.0002%,,
3196,蒿,412,3435,0.0002%,,
2908,鸵,405,3436,0.0002%,,
3291,碴,405,3437,0.0002%,,
3105,榔,397,3438,0.0002%,,
3440,瞭,395,3439,0.0002%,,
3307,箕,388,3440,0.0002%,,
2529,芍,385,3441,0.0002%,,
3457,臊,372,3442,0.0002%,,
2728,叁,367,3443,0.0002%,,
2953,掸,363,3444,0.0002%,,
3450,镣,363,3445,0.0002%,,
2872,蚜,360,3446,0.0002%,,
3008,铛,352,3447,0.0002%,,
2311,箩,348,3448,0.0002%,,
3152,猬,343,3449,0.0002%,,
2655,茁,337,3450,0.0002%,,
3010,铡,327,3451,0.0002%,,
3006,赊,323,3452,0.0002%,,
3298,嘁,320,3453,0.0002%,,
3262,滓,314,3454,0.0002%,,
2581,杈,313,3455,0.0002%,,
2902,胯,313,3456,0.0002%,,
3055,涮,313,3457,0.0002%,,
1737,菠,310,3458,0.0002%,,
2596,囤,308,3459,0.0002%,,
2993,蛉,301,3460,0.0002%,,
2512,夯,296,3461,0.0002%,,
3287,榛,290,3462,0.0002%,,
2663,矾,287,3463,0.0001%,,
3207,硼,287,3464,0.0001%,,
2652,苫,277,3465,0.0001%,,
3418,篙,276,3466,0.0001%,,
3350,嘹,271,3467,0.0001%,,
3233,锨,268,3468,0.0001%,,
3093,壹,267,3469,0.0001%,,
2716,衩,258,3470,0.0001%,,
3251,馏,250,3471,0.0001%,,
3279,蔫,241,3472,0.0001%,,
3011,铣,226,3473,0.0001%,,
2988,畦,224,3474,0.0001%,,
2880,唁,212,3475,0.0001%,,
3137,锉,209,3476,0.0001%,,
3362,膘,205,3477,0.0001%,,
3017,笤,190,3478,0.0001%,,
3195,蓖,190,3479,0.0001%,,
3257,誊,187,3480,0.0001%,,
2751,荞,177,3481,0.0001%,,
3499,瓤,175,3482,0.0001%,,
2559,玖,171,3483,0.0001%,,
3143,黍,169,3484,0.0001%,,
3411,螟,152,3485,0.0001%,,
2545,凫,147,3486,0.0001%,,
2889,铆,129,3487,0.0001%,,
2750,茴,126,3488,0.0001%,,
3358,镊,125,3489,0.0001%,,
3245,肄,107,3490,0.0001%,,
2840,捌,104,3491,0.0001%,,
3436,檩,96,3492,0.0000%,,
2752,荠,94,3493,0.0000%,,
2940,麸,83,3494,0.0000%,,
2891,秫,72,3495,0.0000%,,
3402,蟥,61,3496,0.0000%,,
2848,荸,55,3497,0.0000%,,
2789,秕,39,3498,0.0000%,,
2812,柒,17,3499,0.0000%,,